,title,comapny,salary,summary
43,Application Developer Levels 1-5,Metropolitan Transportation Authority,,"Ability to instruct and guide less senior software developers/analysts.
Evaluate operating efficiency of software systems developed by other MTA application…"
44,Junior C++ Developer - Multiple Openings,GTS,,We are a technology driven firm looking for talented junior level C++ software developers who share our passion for technology.
45,Python Developer,Emonics LLC,"$60,000 - $100,000 a year","Work experience as a Python Developer.
Expertise in at least one popular Python framework (like Django, Flask or Pyramid).
Job Types: Full-time, Contract."
46,Python Developer - Financial Services,Eternity Consulting Services,"$130,000 - $165,000 a year","Some of the key responsibilities include:
Team player to produce maintainable and scalable software that helps improve their customers' ability to efficiently…"
47,newBackend Software Engineer (NY),Philo Inc.,,"Philo’s engineers hack up and down the technology stack.
Philo engineers own what they build from start to finish."
48,Java Developer,Morgan Stanley,,"Experience with scripting languages such as python, ksh and/or bash.
Institutional Securities Technology (IST) is a global team which develops enterprise…"
49,Software Engineer: AlphaStudio,"Two Sigma Investments, LLC.",,"Two Sigma is a financial sciences company, combining data analysis, invention, and rigorous inquiry to help solve the toughest challenges in investment…"
50,C++ Developer (Associate),Alpha Beta Investments,,"Excellent programming skills in C++ and Python.
Very comfortable with Object-Oriented concepts.
Knowledge of various database and datastores is a must (SQL,…"
51,Full-Stack Engineer (Python),Coast,,"The Full-Stack Engineer is a very hands-on role, an early hire and critical team member that will execute on the vision for Coast's initial product, in close…"
52,"newBackend Engineer, Content Platform",Spotify,,"Design, develop and deploy backend services with a focus on high availability, low latency and scalability.
Collaborate closely with other engineers and become…"
53,Python Developer,Ampersand,,"You will be focused on maintaining and developing APIs that serve the results of our Bayesian models.
You will be working on these APIs using Python, fastapi,…"
54,newFront Office Developer - Full Stack,Balyasny,,"Work closely with portfolio management, trading, compliance and technology teams to deliver cutting-edge innovative software solutions."
55,Scientific Python Developer,Schrödinger,,This role presents an excellent opportunity for someone looking to transition from research science into full-time professional software development while still…
56,Full Stack Developer,MassMutual,,"Your job will require you to work closely with your fellow technology team members, to coordinate with QA resources, and to communicate with business team…"
57,newBACKEND DEVELOPER,The Forest Road Company,,"You will help refactor and maintain our core systems to prepare them to scale.
Design and implement architecture that builds on top of our existing system and…"
58,newJr. Python Developer,Gryps,,"Have a BS in Computer Science or related engineering fields.
Have a strong Python development background.
Have strong experience with databases (NoSQL: DynamoDB…"
59,Backend Developer,Complicore,Up to $49 an hour,"Liaise with developers, designers and system administrators to identify new features.
Collaborate with Front-end developers to integrate user-facing elements…"
60,Front End Developer,Amun 21Shares,,"Team of entrepreneurs, engineers, and financial product developers who are uniquely.
Institutional and retail investors in the traditional finance community."
61,Front-End Focused Software Developer,EEG Enterprises,"$85,000 - $100,000 a year","Applications include live media monitoring, AI closed captioning, and transcription visualization and quality control."
